CreatedDate,CreatedTime,Symbol,Type,Volume,Price,Side,CallPut,Strike,Spot,Premium,ExpirationDate,Color,ImpliedVolatility,Dte,ER,StockEtf,Sector,Uoa,Weekly,MktCap,OI
6/22/2021,09:35:41,JPM,SWEEP,163,3.5,A,PUT,140,149.8212,57050,9/17/2021,WHITE,0.28,87,F,STOCK,Financials,F,F,4.55E+11,2764
6/22/2021,09:35:41,BAC,SWEEP,260,0.46,A,PUT,39.5,39.65,11960,6/25/2021,WHITE,0.38,3,F,STOCK,Financials,F,T,3.41E+11,7287
6/22/2021,09:35:42,AMD,BLOCK,200,2.1,A,CALL,85,83.56,42000,7/16/2021,WHITE,0.31,24,F,STOCK,Information Technology,F,F,1.00E+11,24297
6/22/2021,09:35:43,TSLA,SWEEP,122,0.95,A,CALL,670,622.56,11590,6/25/2021,WHITE,0.54,3,F,STOCK,Consumer Discretionary,F,T,5.98E+11,7668
6/22/2021,09:35:43,TSLA,BLOCK,92,1.67,A,CALL,660,622.56,15364,6/25/2021,WHITE,0.53,3,F,STOCK,Consumer Discretionary,F,T,5.98E+11,7357
6/22/2021,09:35:44,TSLA,SWEEP,378,0.95,A,CALL,670,622.56,35910,6/25/2021,WHITE,0.54,3,F,STOCK,Consumer Discretionary,F,T,5.98E+11,7668
6/22/2021,09:35:45,SPLK,SWEEP,181,4.549,A,CALL,145,136.35,82340,8/20/2021,WHITE,0.35,59,F,STOCK,Information Technology,F,F,20570000000,365
6/22/2021,09:35:45,TSLA,SWEEP,100,8.48,AA,CALL,630,622.56,84800,6/25/2021,WHITE,0.52,3,F,STOCK,Consumer Discretionary,F,T,5.98E+11,5976
6/22/2021,09:35:50,AAPL,SWEEP,201,1.74,A,CALL,135,132.725,34972,7/16/2021,WHITE,0.19,24,F,STOCK,Information Technology,F,F,2.21E+12,216839
6/22/2021,09:35:50,EBAY,SWEEP,270,0.5,A,PUT,63,63.45,13500,6/25/2021,WHITE,0.31,3,F,STOCK,Information Technology,F,T,43873000000,539
6/22/2021,09:35:50,GSAT,SWEEP,209,0.7,A,CALL,2.5,1.57,14630,1/20/2023,WHITE,1.17,577,F,STOCK,Information Technology,T,F,2705000000,5829
